title,link,content
"[[마켓인사이트] AJ네트웍스, 부동산 시설관리 진출]",https://n.news.naver.com/mnews/article/015/0004195419?sid=101,"[
렌터카 매각 자금으로 업계 3위 대원종합관리 108억에 인수국내 시장 年 10%대 고성장다른 시설관리 기업도 인수 검토렌털 등 기존사업과 시너지 기대▶마켓인사이트 8월 20일 오후 3시 45분AJ네트웍스가 아파트, 오피스 등 부동산 시설관리 사업에 본격 진출한다. 올해 초 AJ렌터카를 팔아 확보한 현금으로 국내 3위 공동주택 관리회사 대원종합관리를 인수하기로 했다. 추가 인수합병(M&amp;A)도 이어갈 방침이다. 렌털, 주차관리 서비스 등 기존 사업과의 시너지 효과가 기대된다는 평가가 나온다.



20일 투자은행(IB)업계에 따르면 AJ네트웍스는 대원종합관리 지분 80%를 108억원에 인수하기로 최근 결정했다. 조만간 인수를 마무리해 자회사로 편입할 계획이다. 1980년 설립된 대원종합관리는 아파트, 오피스, 주상복합, 오피스텔 등 집합건물의 보안, 주차, 미화, 조경 등의 관리 서비스를 제공하는 회사다. 지난해 476억원의 매출을 올렸다. 현재 부동산 집합건물 515곳을 관리하고 있다. AJ네트웍스는 대원종합관리 외에도 여러 부동산 시설관리 기업의 추가 인수를 검토 중인 것으로 알려졌다.AJ네트웍스는 올초 AJ렌터카를 SK네트웍스에 팔아 약 2000억원의 현금을 조달했다. AJ렌터카는 지난해까지 AJ네트웍스 전체 매출의 40%를 책임졌던 주력 자회사였다. AJ네트웍스가 핵심 자회사 매각으로 생긴 ‘공백’을 메우기 위해 부동산 시설관리를 택한 건 △성장성 △기존 사업과의 시너지 가능성 때문이라는 평가다.



AJ네트웍스 측은 “부동산 시설관리산업은 선진국에서는 규모가 상당하다”며 “우리나라 시장도 매년 10% 이상 성장하면서 다양한 서비스 수요가 생겨나 대형화·전문화가 필요해진 상황”이라고 설명했다. 회사 측은 또 “부동산 시설관리와 관련된 다양한 분야의 기업을 여럿 인수해 시장에서 입지를 다지고, 임대 등 부동산 자산관리 산업까지 확장한다는 게 중장기 계획”이라며 “부동산 시설관리가 주력인 영국기업 ABM은 연매출 5조원을 내고 있다”고 덧붙였다.회사는 기존 사업과의 시너지 효과도 기대하고 있다. 주차 관리 서비스를 하는 자회사 AJ파크의 캡티브 마켓(계열사 간 내부시장)이 확대되는 효과를 기대하는 것으로 알려졌다.또 입주자를 대상으로 가전 등 렌털(AJ네트웍스), 차량 정비·관리(AJ카리안서비스), 중고차 매매(AJ셀카), 카셰어링(링커블) 등 자회사들의 서비스를 제공해 그룹 전체의 실적을 끌어올리는 것도 가능하다고 보고 있다.증권가에서는 AJ네트웍스의 신사업 진출이 주가 반등의 계기가 될 수 있을지 주목하고 있다. 이날 유가증권시장에서 AJ네트웍스 주가는 전날보다 0.1% 떨어진 4810원에 마감했다. 주가순자산비율(PBR) 0.7배 수준이다.AJ네트웍스는 자회사 자금 지원에도 착수했다. 지난 19일 이사회를 열고 100% 자회사인 에이제이엠에 145억원을 투입하기로 결정했다. 올해 신규 설립된 에이제이엠은 자동차, 오토바이 렌털 및 공유 사업을 하는 회사다.이고운 기자 ccat@hankyung.com▶ 네이버에서 한국경제 뉴스를 받아보세요▶ 한경닷컴 바로가기  ▶ 모바일한경 구독신청 ⓒ 한국경제 &amp; hankyung.com, 무단전재 및 재배포 금지
		]"
[[알림] 금리인하에 훈풍부는 부동산… 투자 성공전략은],https://n.news.naver.com/mnews/article/417/0000435187?sid=101,"[
			한국은행이 기준금리를 인하하면서 상가와 오피스텔 등 수익형 부동산에 훈풍이 불 것이란 기대가 높아지고 있다. 마땅한 투자처를 찾지 못해 예금형 상품에 몰렸던 시중자금이 수익형 부동산에 눈을 돌릴 것이란 전망이 나온다. 전국 오피스텔 임대수익률은 6월 기준 연 5.46%로 저축성예금 금리(1.80%)에 비해 3배 이상 높다. 서울(4.87%)과 세종(4.37%) 등 수익률이 가장 낮은 지역도 4%대다. 상가와 오피스 등 상업·업무용 부동산 거래 역시 금리 인하 기대감에 올해 2월 2만1079건에서 5월 2만5904건으로 점차 회복세를 보이고 있다. 잠잠했던 부동산 거래에 살아날 조짐을 보이며 투자자들의 관심도 고조되고 있다.제13회 머니톡콘서트가 오는 5일(월) 오후 2시30분 서울 종로구 종로1(광화문) 교보생명빌팅 23층 컨벤션홀에서 열린다. 재테크전문 경제주간지 &lt;머니S&gt;가 주최하는 이번 머니톡콘서트는 글로벌 금융시장 동향과 국내 부동산 트렌드를 짚어보고 투자의 정석을 제시하는 자리가 될 전망이다.



 이번 머니톡콘서트에는 부동산종합자산관리 기업 오비스트의 이춘란 본부장과 곽창석 도시와공간 대표, 두성규 한국건설산업연구원 선임연구위원(법학박사)이 강연을 맡아 한 발 앞선 인사이트를 공유할 예정이다. 이춘란 오비스트 본부장은 ‘금융규제와 강남 재테크 전략’을 주제로 실수요자의 투자 전략을 제시한다.곽창석 도시와공간 대표는 ‘지금 사야할 아파트’란 주제로 국내 부동산 시장을 들여다보고 두성규 한국건설산업연구원 선임연구위원은 ‘하반기 부동산 정책 방향성 전망’에 관해 강연할 예정이다.◆행사 : 제13회 머니톡콘서트◆일시 : 2019년 8월5일 월요일 14:30~17:40◆장소 : 서울 종로구 종로1(광화문) 교보생명빌딩 23층 컨벤션홀◆대상 : 재테크에 관심 있는 사람이라면 누구나◆비용 : 무료◆문의 : 머니톡콘서트 사무국(02-724-0959 / lja1130@mt.co.kr)◆신청 : ﻿https://booking.naver.com/booking/5/bizes/139051﻿◆주자 지원 안 됩니다. 대중교통을 이용해주세요.이남의 기자 namy85@mt.co.kr▶ 고수들의 재테크 비법 ▶ 박학다식 '이건희칼럼' &lt;저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스' 머니S, 무단전재 및 재배포 금지&gt;
		]"
[],https://n.news.naver.com/mnews/article/112/0003203032?sid=106,[]
[대우건설 신성장동력으로 리츠 육성…2025년까지 4조원 이상 운용한다],https://n.news.naver.com/mnews/article/366/0000440269?sid=101,"[
			대우건설이 국토교통부에 리츠 자산관리회사(AMC) 예비인가를 신청했다고 6일 밝혔다.대우건설은 7월 11일 ‘투게더투자운용’에 대한 예비인가를 신청했다. 이 회사는 올해 설립인가를 받을 수 있을 것으로 예상된다. 투게더투자운용은 대우건설과 기업은행, 교보증권, 해피투게더하우스(HTH) 등 4개사가 공동출자하며 초기자본금은 70억원이다.



대우건설이 참여한 베트남 하노이 스타레이크시티 전경. /대우건설 제공대우건설은 부동산 간접투자기구인 리츠(RETIs) 산업에 진출해 건설과 금융이 융합된 신규사업모델을 만들어 회사의 신성장동력으로 삼을 계획이다. 특히 금융회사와 함께 AMC를 설립하며 부동산 개발사업의 성패를 좌우하는 자금조달력에서 다른 AMC보다 우위에 있게 됐다고 설명했다.대우건설은 개발리츠나 임대리츠에 직접 출자해 디벨로퍼의 역할도 수행할 예정이다. 공사를 수주해 시공하는 단순 건설사에서 부지매입·기획·설계·마케팅·시공·사후관리까지 하는 종합 디벨로퍼 회사로 거듭나는 셈이다. 이를 통해 개발·임대·처분이익 등 사업 수익원도 다각화한다.국내 리츠 시장은 2016년 국토교통부가 리츠 자산관리회사의 업역 제한을 완화하는 ‘부동산투자회사법 시행령’을 시행한 이후 지속적으로 성장했다. 하지만 대부분의 국내 리츠가 임대주택 개발·운용이나 대기업의 부동산 자산관리 정도의 사업을 펼치는 수준에 그쳤다.대우건설은 리츠 본래 취지에 맞게 일반인들이 부동산 개발 사업에 투자할 수 있는 길을 열 계획이다. 국내 개발사업뿐만 아니라 해외 개발사업에도 진출하며, 상업시설·오피스 등 다양한 실물자산도 사들여 운용한다. AMC의 첫 투자대상사업은 베트남 하노이에 있는 스타레이크시티에서 진행될 예정이다.대우건설이 조성 중인 행정복합도시 스타레이크 시티에 대형 오피스, 아파트 등이 들어서는 복합단지를 개발하는 공모 리츠도 추진한다. 또 공동출자자인 HTH가 보유한 대림동 뉴스테이, 장위동 임대주택 등의 리츠도 위탁 운용한다.대우건설 관계자는 ""AMC설립은 지난해 비전선포식에서 발표한 ‘신성장동력 확보’의 하나""라며 ""정부의 리츠 시장 활성화 기조에 발맞춰 사업영역을 확대하고 수익구조를 다각화할 계획""이라고 말했다. 또 이 관계자는 ""2025년까지 20개 이상의 리츠를 운영하고, 자산운용 규모를 4조원 이상으로 키워 국내 최고의 종합 디벨로퍼 회사로 도약하고자 한다""고 말했다.[이진혁 기자 kinoeye@chosunbiz.com]chosunbiz.com
		]"
[상반기 상가·오피스텔 거래량 25% 감소…세종은 반토막],https://n.news.naver.com/mnews/article/001/0011007241?sid=101,"[
			""금리인하에도 수익형 부동산 시장 성장에 한계 전망""



마곡지구에 있는 오피스텔[상가정보연구소 제공]     (서울=연합뉴스) 홍국기 기자 = 상가와 오피스텔 등의 수익형 부동산의 상반기 거래량이 지난해보다 급감한 것으로 조사됐다.    7일 수익형부동산 연구개발기업 상가정보연구소가 한국감정원 통계를 분석한 결과 올해 상반기 전국 상업·업무용 부동산 거래량은 14만4천200건으로, 작년 상반기 거래량(19만2천468건)보다 25.1% 감소했다.    상반기 전국에서 수익형 부동산의 거래량이 가장 많이 감소한 지역은 세종시로, 거래량이 지난해 상반기 1천758건에서 올해 상반기 887건으로 49.5% 급감했다.    충남과 강원의 수익형부동산 거래량이 작년보다 각각 43.7%, 41.2% 감소해 그 뒤를 이었다.     수도권에서도 수익형 부동산의 거래량이 줄었다.    서울의 상반기 수익형 부동산 거래량은 2만7천567건으로 작년 같은 기간 거래량(3만5천601건)보다 22.6% 감소했다.    같은 기간 경기도는 5만1천420건으로 작년 거래량(6만7천401건) 대비 23.7% 감소했고, 인천은 1만4천40건으로 작년 거래량(1만9천63건)보다 26.3% 줄어 수도권에서 가장 큰 폭의 감소세를 보였다.    한국은행이 지난달 18일 기준금리를 인하를 발표하면서 수익형 부동산 시장에 훈풍이 불 것이라는 기대가 커지고 있다.    그러나 전반적으로 부동산 경기가 침체해 수익형 부동산 시장이 좋은 분위기로 이어지기 어렵다는 지적도 나온다.    조현택 상가정보연구소 연구원은 ""지난해 하반기에 부동산 대책이 발표됐을 때 수익형 부동산 시장은 풍선효과로 크게 성장할 것으로 전망됐지만 올해 상반기 거래량은 작년 같은 기간 대비 오히려 감소했다""며 ""부동산 시장이 전반적인 침체기를 겪고 있는 상황 속에서 수익형 시장만 호황을 기대하는 것은 사실상 어렵다""고 설명했다.    조 연구원은 ""현재 오피스, 상가 등의 수익형 부동산의 공실, 수익률 감소 등의 문제가 계속되고 있어 금리가 인하됐음에도 수익형 부동산 시장의 성장에는 한계가 있을 것""이라고 전망했다.    redflag@yna.co.kr▶확 달라진 연합뉴스 웹을 만나보세요▶네이버 [연합뉴스] 채널 구독   ▶뭐 하고 놀까? #흥
]"
[마스턴운용 佛 파리 빌딩에 3739억 투자],https://n.news.naver.com/mnews/article/014/0004283969?sid=101,"[
			 마스턴투자운용이 프랑스 파리 크리스탈파크 오피스에 3739억원을 투자한다. 지난 5월 부동산투자사 이카드(Icade)와 해당 건물 인수계약을 체결한 삼성증권의 셀다운(재판매) 물량을 인수한 것이다.  27일 투자은행(IB) 업계에 따르면 마스턴투자운용은 마스턴유럽전문투자형사모부동산투자신탁 제9호를 설립했다. 펀드의 운용기간 5년 6개월로, 목표수익률은 연 7.1%다.  이번 오피스 인수를 위한 총 투자비용은 9982억원이다. 현지대출은 5727억원으로, 프랑스 현지 부동산관리회사 라 프랑세즈(la francais)가 516억원을 지분투자했다.  마스턴자산운용이 만든 펀드의 투자자(LP)로는 주택도시기금(700억원), KDB생명(397억원), 농심캐피탈(50억원) 등이다. 삼성생명(400억원), 경찰공제회(300억원)와 동양생명(300억원), KT&amp;G(300억원), 산재보험기금(400억원) 등은 투자심의위원회를 통해 투자를 최종 결정할 예정이다.  해당 빌딩에는 다국적 회계컨설팅기업 PwC(프라이스워터하우스쿠퍼스) 프랑스 본사를 비롯한 4개 기업이 입주해 있다. 파리 핵심지역에 위치한 데다 우량 임차인을 확보해 투자 안정성이 높은 것으로 평가된다. 실제 파리는 올해 들어 국내 증권사의 빌딩 투자가 가장 활발한 곳이다. 지난 3월 한국투자증권(총 인수가 3700억원), 미래에셋대우(1조830억원), 하나금융투자(2200억원)이 4월에는 하나금융투자(5168억원)와 삼성증권·한화투자증권(1조5000억원)이 각각 빌딩을 인수했다.  IB업계 관계자는 ""임대료가 연 1.5~2% 오르고, 브렉시트의 반사이익으로 파리가 영국 런던을 대체하는 유럽 제1의 거점도시로 떠오르고 있다. 지난해에만 HSBC, JP모간 등 33개 대형 금융회사가 유럽 본부를 파리로 옮겼다""고 말했다. ▶ 헉! 소리나는 스!토리 뉴스 [헉스]▶ 클릭해, 뉴스 들어간다 [뉴스쿨] ▶ 세상에 이런일이 [fn파스]  ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지
		]"
"[하나금융 ""최대 오피스상권, 강남에서 가산디지털로 이동""  ]",https://n.news.naver.com/mnews/article/215/0000802534?sid=101,"[
[한국경제TV 지수희 기자]



최대 오피스 상권이 10년 전 강남에서 가산디지털단지로 이동한 것으로 조사됐다.12일 KEB하나은행 하나금융경영연구소가 '서울시 직장인의 출퇴근 트렌드 변화'를 연구한 보고서에 따르면 10년 새 가산디지털단지와 여의도, 합정, 홍대입구역의 출퇴근 시간 유동인구가 급격히 증가한 반면, 삼성, 선릉, 강변, 청량리역의 유동 인구는 감소한 것으로 나타났다.특히 가산디지털단지는 출근 시간대 하차 인원이 가장 많아(2008년에는 10위), 2008년 당시 상위권이었던 강남역과 선릉역을 제친 것으로 나타났다.또 지난 10년사이 '워라벨'이 중요해지면서 서울 직장인의 퇴근시간이 빨라진 것으로 분석됐다.보고서에 따르면 도심권 직장인의 18시대 퇴근 비중이 10년 전에 비해 6.8%p 높아진 42.8%에 달한 것으로 분석됐다.특히 서남권(구로/가산 디지털단지) 직장인들의 경우 10년 전과 비교해 09시대 출근 비중이 5.3%p 늘고, 19~20시대 퇴근 비중이 8.9%p 감소한 것으로 타났다.하나금융연구소는 또 출근 시간대 지하철 승하차 인원 비중을 분석해 서울의 업무지구와 주거지구를 객관적으로 측정할 수 있게 됐다고 밝혔다.출근 시간대에 승차 인원 비중이 높은 곳을 '베드 타운', 하차 인원 비중이 높은 곳을 '오피스 타운'으로 가정할 때 까치산과 장암역이 승차 비중 88%로 가장 높았으며, 마들(87%)과 신정(86%), 쌍문역(86%) 등의 순으로 나타났다.반면 을지로입구역은 출근 시간대 승차 비중이 5.6%, 즉 하차 비중이 94.4%로 서울에서 가장 높았으며, 종각과 국회의사당역의 하차 비중은 94.2%, 이후 시청(94%), 광화문역(93%) 등의 순으로 나타났다.또 서울 시민을 대상으로 한 설문 조사인 '서울 서베이'의 지난 10년간 응답 자료를 통합 분석한 결과 집과 회사가 같은 지역 내에 위치한 직장인은 2008년 전체의 42%에서 지난해 51%로 증가한 것으로 조사됐다.정훈 하나금융경영연구소 연구위원은 ""지하철 이용 데이터 분석을 통해 그동안 명확하게 정의하기 어려웠던 오피스타운과 베드타운을 계량적으로 판별할 수 있게 됐다""며 ""분석 결과는 향후 상권 및 유동 인구 분석과 부동산 가격 예측에도 활용이 가능할 것 ""이라고 설명했다.지수희기자 shji6027@wowtv.co.kr▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]ⓒ 한국경제TV, 무단 전재 및 재배포 금지
		]"
"[[시그널] 대림산업, 서울숲 오피스 매각 작업 스타트···어떤 조건 내걸까]",https://n.news.naver.com/mnews/article/011/0003604017?sid=101,"[
매각 주관사에 세빌스 코리아6,000억원대 매각 작업 시작도심 아닌 단점 극복 조건에 따라흥행 여부 결정될듯



아크로 서울 포레스트 완공 후 예상모습/사진제공=대림산업[서울경제] 대림산업(000210)이 서울 성수동에 건축 중인 고급 주상복합 ‘아크로 서울 포레스트’의 오피스 동과 상업·문화시설 매각 절차에 돌입했다. 주관사를 선정하고 본격적으로 흥행 몰이에 나섰다. 다만 서울 성수동이라는 지리적 한계와 최근 오피스 시장의 분위기를 고려할 때 매수자 찾기가 쉽지 않을 것이란 관측도 나온다. 대림산업이 어떤 조건을 제시할지 주목된다.16일 투자은행(IB) 업계에 따르면 대림산업은 최근 글로벌 부동산 서비스 기업 세빌스 코리아를 주관사로 선정하고 아크로 서울포레스트 오피스 ‘디 타워’(D-Tower)와 상업시설 ‘리플레이스’, 디 뮤지엄이 운영할 문화시설 ‘디 아트센터’(D Art Center)의 매각에 나섰다.아크로 서울포레스트는 서울 성동구 뚝섬 상업용지 3구역에 들어서는 고급 주상복합 단지다. 대림산업은 2017년 주거 2개 동은 3.3㎡(평)당 4,750만원에 분양 완료했다. 이후 오피스 1개 동과 상업·문화시설은 광화문 디타워처럼 대림산업이 직접 운영하려 했다. 하지만 매각하는 것이 보다 효율적이라고 판단해 방향을 틀었다. 매각가는 6,000억원 이상으로 대림산업의 연 순이익 수준에 맞먹는다.부동산 업계에서는 새 주인을 찾기가 쉽지 않을 것이란 관측이 나온다. 서울 여의도 파크원을 비롯해 내년 대형 프로젝트들의 연이은 준공이 예정돼 있기 때문이다. 최근 주요 대기업들이 빌딩을 팔아 자산을 유동화 시키는 것도 이런 이유다. 아크로 서울 포레스트의 위치가 서울 도심권(CBD)이나 강남권역(GBD)이 아닌 점도 약점으로 지적된다. 한 업계 관계자는 “아무래도 성수동 주거단지 옆이라 본사 사옥으로 쓰거나 하기에는 쉽지 않을 것”이라고 말했다.이렇다 보니 대림산업이 주관사인 세빌스와 어떤 매각 조건을 내놓을지에 관심이 쏠린다. 매각하는 대신 대림산업 임직원들이 입주하는 방식으로 책임 임차 등의 조건 등을 걸 수 있다. 다만 “성수동이 광화문이나 강남 같은 오피스 지역이 아닌 점에서 임직원들이 반발할 수도 있다”는 의견도 있다.매각이 힘들 경우 과거 광화문 디타워에 썼던 방식의 구조를 다시 한번 가져올 수도 있다. 대림산업은 2014년 디타워 매각을 검토했지만 시세 등을 고려해 매각하지 않았다. 대신 SPC(특수목적법인)인 청진이삼프로젝트에 대림산업이 지분 20%를 출자했다. 여기에 JCP인베스트이차(15%), 미래에셋증권(5%), KB부동산신탁(20%), 한국자산신탁(20%) 등의 투자를 받았다. 대림산업이 책임준공과 책임 분양 등을 맡고 플랜트 사업부를 입주시키기도 했다. 현재 대림산업의 청진이삼프로젝트 지분율은 48.46%다. 임대업을 통해 올 상반기에만 155억원의 영업이익을 기록하기도 했다.한 업계 관계자는 “대림산업이 매각하려는 의지가 얼마나 큰지가 조건을 통해 드러날 것”이라며 “현금성 자산이 1조원 이상에 영업익도 개선되는 상황에서 급하게 매각하려 나서지 않을 것으로 보인다”고 말했다./강도원기자 theone@sedaily.com[서울경제 바로가기]▶ 텔레그램으로 서울경제 구독하기  | ▶ 네이버TV로 서울경제썸 구독하기▶ 네이버 메인에서 'No. 1 뉴스' 서울경제를 만나보세요저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지
		]"
[1코노미 트렌드에 최적화된  소호오피스 중심의 ‘동탄2 서영아너시티’ 분양],https://n.news.naver.com/mnews/article/011/0003600830?sid=101,"[
- 혼자만의 라이프스타일과 소비 뜻하는 1코노미 트렌드 확산- 업무공간 역시 1인 기업, 스타트업 등 1코노미 트렌드 최적화 공간 수요 급상승



㈜서영건설플러스 ‘동탄2 서영아너시티’ 조감도[서울경제] 1코노미’(1인 경제) 트렌드가 유통업계를 넘어 산업계 전반으로 확산되고 있다. 1코노미란, 1인과 경제를 뜻하는 이코노미(Economy)의 합성어로 혼자 라이프스타일과 소비를 즐기는 것을 말한다. 이러한 1코노미가 트렌드로 자리잡은 데는 국내 1인 가구의 증가와 맞닿아 있다. 통계청에 따르면, 국내 1인 가구 비중은 2017년 기준 28.6%로 가구수 역시 약 562만명에 이르며 2000년 222만명과 비교해 약 153%나 증가했다. 특히 최근에는 정부가 창조경제혁신센터, 1인창조 기업지원센터 등 다양한 기업활성화 정책을 내놓으면서 1인 창조기업과 스타트업도 큰 폭으로 증가했다. 이에 이들을 위한 업무공간 수요가 급상승하면서, 이제는 큰 면적이 아닌 업무에 최적화된 공간으로만 설계해 업무 집중도를 높이고, 기업 투자비용은 대폭 낮아졌다. 부동산 전문가는 ""1코노미 트렌드가 확산되고 직주근접, 역세권 선호 현상이 겹치면서 수도권 도심 공간의 변화가 시작되고 있다”며, “신도시 도심 특히 역세권의 낡은 상업시설이나 사무실 등이 1, 2인용 주거공간, 스타트업 사무실 등으로 바뀌며 인기를 끌 전망이다""라고 말했다.올 하반기에도 이러한 1코노미 트렌드에 최적화된 새로운 업무공간으로 구성된 단지가 선보여 눈길을 끈다. ㈜서영건설플러스의 ‘동탄2 서영아너시티’가 바로 그 주인공이다. ‘동탄2 서영아너시티’는 경기도 화성 동탄2신도시 지원시설용지 42-4블록 일원에 지하 2층~지상 13층, 연면적 14,312㎡ 규모로 소호오피스와 셀프 스토리지, 슬림스토어 등으로 구성된 지식산업센터단지다. ‘동탄2 서영아너시티’의 가장 큰 특징은 1인 창조기업과 스타트업이 증가하는 1코노미 트렌드에 맞춰 업무공간을 다운사이징한 소호오피스로 설계된다는 점이다. 이렇게 설계된 ‘동탄2 서영아너시티’의 소호오피스는 불필요한 공간 없이 업무에 최적화된 공간으로만 구성돼 있어 투자자금 부담이 낮다. 소호오피스 설계로 업무공간을 최적화하면서, 불필요한 짐을 보관할 수 있는 도심형 개인 창고인 셀프 스토리지도 갖춰진다. 셀프 스토리지는 사용자의 니즈와 라이프스타일에 맞춘 편리한 짐 보관이 가능한데다 개인은 물론 기업들까지도 이용이 가능하다. 단지 1층에는 유러피안 테마가 적용된 슬림스토어를 조성하여 일과 삶의 균형인 워라밸(Work-life balance)을 누릴 수 있도록 꾸려진다.  슬림스토어는 차량 통행량이 높은 동탄영천로 대로변 중심을 바라보는 스트리트형으로 설계돼 가시성과 접근성을 높였다. 특히 독점 업종 구성이 가능한 점포구성은 물론 나홀로족, 1~2인 가족에 특화된 소규모 형태의 점포 등 테이크아웃 전문점과 같은 소자본 창업 맞춤형 공간으로 꾸며진다. 특히 슬림스토어의 경우 인근 5,000여 세대 규모의 아파트 단지를 비롯해 인근 동탄5동주민센터, 다원이음터, 다원중학교, 선납숲공원 나들이객 등 1만여 유동인구의 수요 흡수까지 가능해 동탄테크노밸리의 상권활성화 주역으로 자리잡을 전망이다.‘동탄2 서영아너시티’는 수도권 최대 규모의 산업클러스터인 동탄테크노밸리의 핵심 입지에 위치해 기업하기 좋은 차별화된 입지까지 확보하고 있다. 삼성전자 화성?기흥?수원 사업장, LG전자 평택디지털파크, 두산중공업, 삼성엔지니어링, 동탄일반산단, 평택진위일반산단 등 대규모 배후산단들과의 시너지 효과는 물론 풍부한 배후수요까지 자랑한다. 또 단지 인근에서는 SRT와 GTX-A노선(2023년 예정), 인덕원-동탄 복선전철(예정) 이용이 수월해 서울까지 발 빠른 이동이 가능하며 경부고속도로, 용인서울고속도로, 제2외곽순환도로 등을 통해 전국 각지로도 오갈 수 있는 사통팔달의 교통환경을 누릴 수 있다. 지식산업센터 4.0시대에 새로운 1코노미 트렌드에 맞춰 조성되는 ‘동탄2 서영아너시티’는 오는 8월 30일 본격 분양을 앞두고 있다. 분양홍보관은 경기도 화성시 동탄대로 182일원에 마련된다. /김동호 기자 dongho@sedaily.com[서울경제 바로가기]▶ 한눈에 보는 시그널 '기업 재무정보'  | ▶ 네이버TV로 서울경제썸 구독하기▶ 네이버 메인에서 'No. 1 뉴스' 서울경제를 만나보세요저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지
		]"
[상반기 상가·오피스텔 거래량 25% ↓ …세종 ‘반토막’],https://n.news.naver.com/mnews/article/018/0004440556?sid=101,"[
상가정보연구소, 감정원 통계 분석 발표“수익형 부동산, 성장에 한계 있을 것”



수도권 상업업무용 부동산 거래량(자료=상가정보연구소 제공)[이데일리 김미영 기자] 상가와 오피스텔 등 수익형 부동산의 올해 상반기 거래량이 지난해보다 25.1% 감소한 것으로 나타났다. 한국은행의 기준금리 인하로 수익형 부동산 시장에 훈풍이 불 것이란 전망이 나왔지만 부동산 경기 침체로 훈풍을 기대하긴 어렵단 목소리도 나온다.7일 수익형부동산 연구개발기업인 상가정보연구소가 한국감정원 통계를 분석한 결과 올 상반기 전국 상업·업무용 부동산 거래량은 14만4200건으로, 작년 상반기 거래량인 19만2468건보다 줄었다.전국에서 수익형 부동산의 거래량이 가장 많이 감소한 지역은 세종시였다. 거래량은 지난해 상반기 1758건에서 올 상반기 887건으로 반토막 났다. 충남과 강원은 같은 기간 거래량이 각각 43.7%, 41.2% 감소해 그 뒤를 이었다. 수익형 부동산의 거래량 감소는 수도권에서도 확인됐다. 서울의 거래량은 2만7567건으로 작년 같은 기간 3만5601건보다 22.6% 줄었다. 경기도는 5만1420건으로 작년(6만7401건) 대비 23.7% 감소했고, 인천은 1만4040건으로 작년(1만963건)보다 26.3% 줄었다.조현택 상가정보연구소 연구원은 “지난해 하반기에 부동산 대책이 발표됐을 때 수익형 부동산 시장은 풍선효과로 크게 성장할 것으로 전망됐지만 올해 상반기 거래량은 작년 같은 기간 대비 오히려 감소했다”고 지적했다. 조 연구원으 “부동산 시장이 전반적인 침체기를 겪고 있는 상황 속에서 수익형 시장만 호황을 기대하는 것은 사실상 어렵다”고 꼬집었다.그러면서 “현재 오피스, 상가 등의 수익형 부동산의 공실, 수익률 감소 등의 문제가 계속되고 있어 금리가 인하됐음에도 수익형 부동산 시장의 성장에는 한계가 있을 것”이라고 내다봤다.김미영 (bomnal@edaily.co.kr)네이버 홈에서 ‘이데일리’ 뉴스 [구독하기▶]꿀잼가득 [영상보기▶] , 청춘뉘우스~ [스냅타임▶]＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 &amp; 재배포 금지＞
]"
